Change in area (10 km2),Change in length (m),Decimal Date,YYYY-MM-DD
0.0000,0.0000,2013.2409,2013-03-30
0.0029,9.9757,2013.2546,2013-04-04
-0.0048,-17.0798,2013.2683,2013-04-09
-0.0114,-40.3821,2013.3012,2013-04-21
-0.0017,-6.7973,2013.3066,2013-04-23
-0.0028,-10.6296,2013.3258,2013-04-30
-0.0269,-99.7546,2013.3696,2013-05-16
-0.0242,-89.5025,2013.3751,2013-05-18
-0.0046,-17.8001,2013.3888,2013-05-23
-0.0035,-13.9697,2013.3943,2013-05-25
0.0312,101.5439,2013.6324,2013-08-20
0.0247,79.6512,2013.6379,2013-08-22
0.0220,70.7528,2013.6516,2013-08-27
0.0221,70.9828,2013.7009,2013-09-14
0.0195,61.9612,2013.7201,2013-09-21
0.0219,70.1032,2013.7392,2013-09-28
0.0207,66.1560,2013.7447,2013-09-30
0.0076,21.0118,2013.7639,2013-10-07
0.0204,62.5946,2013.8131,2013-10-25
0.0039,6.2342,2014.1205,2014-02-14
-0.0040,-22.6028,2014.1643,2014-03-02
0.0065,12.6584,2014.1834,2014-03-09
-0.0159,-66.1787,2014.2081,2014-03-18
-0.0066,-32.8868,2014.2519,2014-04-03
-0.0091,-41.6670,2014.2710,2014-04-10
-0.0208,-85.2441,2014.2957,2014-04-19
-0.0109,-48.7015,2014.3340,2014-05-03
-0.0156,-65.5122,2014.3395,2014-05-05
-0.0037,-23.1181,2014.3970,2014-05-26
-0.0049,-27.4156,2014.4025,2014-05-28
-0.0080,-38.1533,2014.4463,2014-06-13
-0.0141,-60.0409,2014.4572,2014-06-17
-0.0165,-68.5500,2014.4764,2014-06-24
0.0169,44.8268,2014.5010,2014-07-03
0.0203,55.9406,2014.5147,2014-07-08
0.0168,44.4571,2014.5202,2014-07-10
0.0237,67.2429,2014.5229,2014-07-11
0.0145,36.8710,2014.5284,2014-07-13
0.0149,38.0641,2014.5339,2014-07-15
0.0330,96.5327,2014.5448,2014-07-19
0.0063,6.7916,2014.5585,2014-07-24
0.0175,44.2707,2014.5640,2014-07-26
0.0270,75.2502,2014.5667,2014-07-27
0.0358,104.2494,2014.5886,2014-08-04
0.0421,124.3385,2014.5969,2014-08-07
0.0291,81.3397,2014.6461,2014-08-25
0.0442,130.3719,2014.6598,2014-08-30
0.0372,107.7036,2014.6653,2014-09-01
0.0306,86.1059,2014.7091,2014-09-17
0.0147,32.9543,2014.7474,2014-10-01
0.0275,75.5369,2014.7529,2014-10-03
0.0173,39.9638,2014.8214,2014-10-28
0.0005,-36.5337,2015.1232,2015-02-15
0.0047,-22.2601,2015.1287,2015-02-17
0.0039,-24.6913,2015.1424,2015-02-22
0.0000,-37.9889,2015.1478,2015-02-24
0.0146,9.9676,2015.1916,2015-03-12
-0.0114,-93.0609,2015.2108,2015-03-19
-0.0038,-69.5000,2015.2355,2015-03-28
-0.0051,-74.1019,2015.2546,2015-04-04
-0.0127,-101.1100,2015.2601,2015-04-06
-0.0111,-97.1472,2015.2984,2015-04-20
-0.0168,-134.1943,2015.3039,2015-04-22
-0.0196,-151.3922,2015.3860,2015-05-22
-0.0083,-110.6516,2015.3915,2015-05-24
-0.0168,-141.1399,2015.4107,2015-05-31
-0.0321,-196.0664,2015.4298,2015-06-07
-0.0027,-94.9087,2015.4791,2015-06-25
0.0143,-39.1801,2015.4928,2015-06-30
0.0143,-39.2219,2015.4983,2015-07-02
0.0199,-20.7033,2015.5175,2015-07-09
0.0111,-49.8105,2015.5229,2015-07-11
0.0364,31.0205,2015.5421,2015-07-18
0.0419,48.4967,2015.5804,2015-08-01
0.0358,28.7369,2015.6489,2015-08-26
0.0282,3.9613,2015.6927,2015-09-11
0.0355,27.4698,2015.6982,2015-09-13
0.0210,-32.8128,2015.7420,2015-09-29
0.0238,-23.4445,2015.7556,2015-10-04
0.0227,-27.2643,2015.7611,2015-10-06
0.0179,-43.5337,2015.8049,2015-10-22
-0.0043,-128.2156,2016.1369,2016-02-20
-0.0018,-120.8566,2016.1807,2016-03-07
-0.0060,-135.0148,2016.1944,2016-03-12
-0.0366,-244.4891,2016.2190,2016-03-21
-0.0572,-314.6273,2016.2245,2016-03-23
-0.0067,-137.4450,2016.2437,2016-03-30
-0.0179,-177.4356,2016.2628,2016-04-06
-0.0403,-273.5494,2016.3504,2016-05-08
-0.0232,-219.3095,2016.3997,2016-05-26
-0.0076,-163.8140,2016.4079,2016-05-29
-0.0063,-159.2593,2016.4134,2016-05-31
-0.0050,-154.8014,2016.4189,2016-06-02
-0.0142,-188.0643,2016.4298,2016-06-06
0.0007,-137.6537,2016.4381,2016-06-09
0.0029,-130.3579,2016.4435,2016-06-11
0.0179,-90.5434,2016.4928,2016-06-29
0.0189,-87.5157,2016.5010,2016-07-02
0.0154,-98.5928,2016.5065,2016-07-04
0.0197,-84.6942,2016.5175,2016-07-08
0.0214,-79.3733,2016.5202,2016-07-09
0.0228,-74.9466,2016.5257,2016-07-11
0.0359,-33.6784,2016.5640,2016-07-25
0.0185,-88.8387,2016.5695,2016-07-27
0.0223,-76.5528,2016.5749,2016-07-29
0.0220,-78.9312,2016.5804,2016-07-31
0.0297,-54.8247,2016.6188,2016-08-14
0.0245,-70.9101,2016.6379,2016-08-21
0.0344,-39.1448,2016.6571,2016-08-28
0.0295,-55.1134,2016.7009,2016-09-13
0.0170,-96.2041,2016.7201,2016-09-20
0.0216,-81.1923,2016.8131,2016-10-24
-0.0040,-182.4167,2017.1424,2017-02-22
-0.0162,-237.6257,2017.1807,2017-03-08
-0.0093,-213.8429,2017.2053,2017-03-17
-0.0252,-286.8459,2017.2245,2017-03-24
-0.0094,-233.4878,2017.2300,2017-03-26
-0.0174,-277.7115,2017.2437,2017-03-31
-0.0158,-272.3081,2017.2491,2017-04-02
-0.0230,-297.3935,2017.2738,2017-04-11
-0.0132,-281.7453,2017.3313,2017-05-02
-0.0089,-282.6496,2017.4189,2017-06-03
-0.0388,-385.4873,2017.4244,2017-06-05
-0.0144,-300.5066,2017.4490,2017-06-14
0.0143,-206.7428,2017.4682,2017-06-21
0.0172,-197.6449,2017.4819,2017-06-26
-0.0011,-257.6177,2017.5065,2017-07-05
0.0135,-210.6123,2017.5229,2017-07-11
0.0068,-261.6029,2017.7693,2017-10-09
0.0042,-270.9437,2017.7940,2017-10-18
0.0026,-276.4595,2017.7995,2017-10-20
-0.0229,-383.1207,2018.1944,2018-03-13
-0.0145,-354.1382,2018.2081,2018-03-18
-0.0112,-382.2533,2018.2765,2018-04-12
-0.0158,-429.4665,2018.3258,2018-04-30
-0.0212,-448.8854,2018.3450,2018-05-07
-0.0147,-426.1320,2018.3641,2018-05-14
-0.0179,-453.3137,2018.4408,2018-06-11
0.0064,-383.1711,2018.5065,2018-07-05
0.0001,-410.2341,2018.5941,2018-08-06
0.0055,-397.8674,2018.6516,2018-08-27
0.0196,-356.5110,2018.7146,2018-09-19
0.0025,-412.2741,2018.7392,2018-09-28
-0.0019,-427.6046,2018.7639,2018-10-07
0.0001,-423.1988,2018.8022,2018-10-21
0.0014,-418.2118,2018.8077,2018-10-23
-0.0174,-513.1972,2019.1150,2019-02-12
-0.0286,-547.2310,2019.1287,2019-02-17
-0.0291,-574.7065,2019.1533,2019-02-26
-0.0248,-583.7201,2019.2026,2019-03-16
